,id,type,x,y,z,demand,priority,name,equivalence_class,stationary_distribution,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,eigenvector_centrality,hits_hub,hits_authority,circle_id
0,0,city_hall,137.9271716983627,34.83575831770259,43.88288908534851,0,1.0,森町役場,1,0.09650295613347028,191.0,114.0,1.5968586387434556,1.0,0.5968586387434556,1.0,0.0072159216251128306,0.008979257555591258,0.09935073608371964,0.005403466192359324,0.007912988609331397,
1,1,shelter,137.89118769892,34.825233541179,39.14172435622423,0,2.0,一宮総合センター,1,0.040803479840132176,181.0,100.0,1.4712041884816756,0.9476439790575917,0.5235602094240838,0.9502487562189055,0.009677541049069309,0.007524837629047261,0.09825164372623038,0.004165200638475056,0.007880368817633146,
2,2,shelter,137.94721066184,34.902459866552,125.84515130496658,0,2.0,旧三倉小学校,1,0.04228930749048247,121.0,13.0,0.7015706806282723,0.6335078534031414,0.06806282722513089,0.7318007662835249,0.019664077496395187,0.0064909415239329275,0.06787274816812956,0.0004922494494994131,0.004990835877924523,
3,3,shelter,137.943806889214,34.8997006677885,126.1978677042942,0,2.0,三倉総合センター,1,0.042425334333381116,123.0,13.0,0.712041884816754,0.6439790575916231,0.06806282722513089,0.7374517374517374,0.01197075474720502,0.006534397722414927,0.06862501040411832,0.0004986402531915106,0.005086938715826236,
4,4,shelter,137.92894238434,34.837856283803,44.184546432957056,0,2.0,森小学校,1,0.09816743653257057,191.0,115.0,1.6020942408376964,1.0,0.6020942408376964,1.0,0.00788851661876611,0.008979835681194027,0.09935073608371964,0.005344295734551977,0.007913459368219765,
5,5,shelter,137.91934369789,34.826775281129,37.706170791509855,0,2.0,森町文化会館,1,0.05794551588857187,191.0,141.0,1.7382198952879582,1.0,0.7382198952879582,1.0,0.018259743582211625,0.008992005886622446,0.09935073608371964,0.006395010130163788,0.007905099907110136,
6,6,shelter,137.92585272867,34.835848500095,44.527716384353695,0,2.0,遠江総合高等学校,1,0.09518238842143514,191.0,112.0,1.586387434554974,1.0,0.5863874345549739,1.0,0.006897658343163878,0.008978070566912322,0.09935073608371964,0.0053593291128272436,0.007913339762985869,
7,7,shelter,137.9278040689,34.838103612536,44.60000000000001,0,2.0,森町総合体育館,1,0.09353434063839028,191.0,114.0,1.5968586387434556,1.0,0.5968586387434556,1.0,0.007781667815495051,0.008979257555591258,0.09935073608371964,0.005297573666584656,0.007913831087986585,
8,8,shelter,137.9418275946,34.859104722076,58.40676735200023,0,2.0,旧天方小学校,1,0.034262816970867555,191.0,79.0,1.4136125654450262,1.0,0.4136125654450262,1.0,0.014248490819604904,0.008949900686237924,0.09935073608371964,0.003317411820207145,0.007929585213003522,
9,9,shelter,137.9012781733,34.811145054853,27.54085051562456,0,2.0,園田総合センター,1,0.05774792459940954,181.0,112.0,1.5340314136125655,0.9476439790575917,0.5863874345549739,0.9502487562189055,0.0067170938312643095,0.007531639179605104,0.09825164372623038,0.004814852402448502,0.007875200202185963,
10,10,shelter,137.90125435611,34.815202366677,43.905831468994805,0,2.0,旭が丘中学校,1,0.06136305435720621,181.0,114.0,1.5445026178010473,0.9476439790575917,0.5968586387434556,0.9502487562189055,0.005859548232764224,0.007532634588740635,0.09825164372623038,0.004946291432445291,0.007874154476093189,
11,11,shelter,137.89930836623,34.816999084056,41.56872869724239,0,2.0,宮園小学校,1,0.06310496347339063,181.0,111.0,1.5287958115183247,0.9476439790575917,0.581151832460733,0.9502487562189055,0.007496433287384883,0.0075311281257954,0.09825164372623038,0.004723517003285767,0.00787592686465525,
12,12,shelter,137.9325440238,34.845068958885,56.67189631509701,0,2.0,森中学校,1,0.058447851873716254,191.0,109.0,1.5706806282722514,1.0,0.5706806282722513,1.0,0.007809540439374179,0.0089762090430497,0.09935073608371964,0.005005221784364417,0.007916157033267202,
13,13,shelter,137.92134023669,34.811632913831,32.222300454792276,0,2.0,飯田小学校,1,0.06004422667902271,182.0,130.0,1.6335078534031415,0.9528795811518325,0.680628272251309,0.955,0.006119941330797688,0.007580037410089044,0.09825185146688258,0.005754297171501862,0.007872888480086899,
14,14,shelter,137.92041219409,34.813195183975,33.95723126516025,0,2.0,飯田総合センター,1,0.060015968282076,182.0,135.0,1.6596858638743457,0.9528795811518325,0.7068062827225131,0.955,0.00605378860209386,0.007581861605763391,0.09825185146688258,0.005997689501191494,0.007870952055952122,
15,15,shelter,137.93859223294,34.869107406165,68.41262198495207,0,2.0,旧泉陽中学校,1,0.03168999307383269,191.0,57.0,1.2984293193717278,1.0,0.2984293193717278,1.0,0.02317628657953946,0.008913266336626384,0.09935073608371964,0.0021182429243670146,0.007939125774920746,
16,16,client,137.94912493111332,34.891076263239015,191.8540511330475,2,5.0,三倉（黒田）_1,1,1.1170653860220758e-05,17.0,27.0,0.23036649214659688,0.08900523560209425,0.14136125654450263,0.5232876712328767,0.0012803030833514724,0.002477941761380843,0.002127850837060918,0.000999140793238931,0.00020663401545478074,
17,17,client,137.9288491791216,34.90048602514178,420.0122854474216,2,2.0,三倉（三倉）_1,1,8.925441239895221e-07,5.0,15.0,0.10471204188481675,0.02617801047120419,0.07853403141361257,0.4272930648769575,0.003306201328294067,0.0015673254461918895,0.000557443765046685,0.000528022085304883,2.071935799079761e-05,
18,18,client,137.94680664950144,34.91703980037675,338.0469239207915,2,1.0,三倉（中村）_1,1,1.20422900809318e-06,9.0,14.0,0.12041884816753927,0.04712041884816754,0.07329842931937174,0.4331065759637188,0.002605884703804513,0.002110382791219806,0.001099092357489254,0.0005278432281926959,3.827189642606445e-05,
19,19,client,137.97274402536593,34.92262871866318,270.40059800693115,1,4.0,三倉（上野平）_1,1,1.8100801418147183e-07,3.0,19.0,0.11518324607329844,0.015706806282722516,0.09947643979057592,0.34601449275362317,0.005418345693112089,0.0009117622911504916,2.6339647000472105e-05,0.0006488806218815088,3.155356405000583e-05,
20,20,client,137.98129097712538,34.94335573245778,497.6666118024019,2,3.0,三倉（大河内）_1,1,3.324979613861245e-08,1.0,15.0,0.08376963350785341,0.005235602094240838,0.07853403141361257,0.2574123989218329,0.0,0.0008220502523612615,2.0939181093636888e-07,0.0005304401094910426,5.162480257303357e-06,
21,21,client,137.9459987498696,34.92942962964434,285.5622273083897,2,2.0,三倉（乙丸）_1,1,5.694590268674748e-07,4.0,14.0,0.09424083769633508,0.020942408376963352,0.07329842931937174,0.305111821086262,0.00022825388077523653,0.0011116163908761257,1.7820542226869523e-05,0.0005280675407853911,1.7782892786959934e-05,
22,22,client,137.9260770771529,34.91919261552697,317.36411158012265,2,5.0,三倉（大久保）_1,1,1.386503805766992e-06,9.0,16.0,0.13089005235602094,0.04712041884816754,0.08376963350785341,0.4331065759637188,0.009714955495871019,0.002155542331618066,0.0011158743317278338,0.0005279970396716224,4.199964525403223e-05,
23,23,client,137.91687634849472,34.90832195435664,293.9535585955816,2,4.0,三倉（田能）_1,1,4.6886688846725644e-07,3.0,15.0,0.09424083769633508,0.015706806282722516,0.07853403141361257,0.3036565977742448,0.0,0.0010440871907547572,1.3409848395898036e-05,0.0005280802079500705,1.2603060187138999e-05,
24,24,client,137.95482590143448,34.85964050483587,204.94152174497896,1,4.0,大鳥居_1,1,1.3536850716922011e-05,46.0,92.0,0.7225130890052357,0.24083769633507854,0.4816753926701571,0.5684523809523809,0.0006087317400858083,0.002589991477879009,0.02170989298085847,0.003995687385651425,0.00180225869889321,
