id,type,x,y,z,equivalence_class,stationary,in_degree,out_degree,undirected_degree,in_degree_norm,out_degree_norm,undirected_degree_norm
0,person,3140.0410380658072,1810.620004103248,26.15944599735657,E0,0.0009333314767834793,109,118,121,0.3504823151125402,0.5728155339805825,0.3890675241157556
1,person,8642.359950305925,5193.149907274704,9.480548415798106,E0,0.0006798256635536892,34,116,82,0.10932475884244373,0.5631067961165048,0.26366559485530544
2,person,3075.24233409429,2434.7367893923656,30.629216936450977,E0,0.0012149974717167481,124,97,118,0.3987138263665595,0.470873786407767,0.37942122186495175
3,person,2870.022526246092,1166.2873873885171,21.235442112173025,E0,0.0008480758564555632,100,118,112,0.3215434083601286,0.5728155339805825,0.36012861736334406
4,person,1311.5752531897174,7974.72730717351,21.73203464581325,E0,0.0012856449253881529,68,72,78,0.21864951768488747,0.34951456310679613,0.2508038585209003
5,person,8853.002298309442,7630.301917522184,17.083366231413212,E0,0.0009510883626009934,50,84,76,0.1607717041800643,0.4077669902912621,0.24437299035369775
6,person,7624.321719909813,2712.6025397533203,11.423226002092806,E0,0.0006523502679666469,42,129,89,0.13504823151125403,0.6262135922330098,0.2861736334405145
7,person,3232.182038556196,4331.018615287564,43.34757477079215,E0,0.0010447227793656264,142,113,116,0.4565916398713826,0.5485436893203883,0.3729903536977492
8,person,6714.102526880354,8917.020555462746,31.968892898564174,E0,0.0012318446304618548,97,70,88,0.31189710610932475,0.33980582524271846,0.2829581993569132
9,person,9105.350880127004,7411.601264728132,14.173185107651465,E0,0.0008526976361287328,43,86,73,0.1382636655948553,0.4174757281553398,0.2347266881028939
10,person,9011.81961674147,6272.63779665689,10.612305908282728,E0,0.0007412841750978024,35,99,71,0.11254019292604502,0.48058252427184467,0.2282958199356913
11,person,6344.179199403333,1068.4055098532565,14.158954391941384,E0,0.0008561088652861539,63,98,92,0.20257234726688103,0.47572815533980584,0.2958199356913183
12,person,5885.803465524994,3815.977280958276,25.202281094160607,E0,0.0012474398430129007,124,83,122,0.3987138263665595,0.4029126213592233,0.39228295819935693
13,person,8647.269262911816,6305.752505900837,13.090424019274291,E0,0.0008292213850114296,44,95,75,0.1414790996784566,0.46116504854368934,0.24115755627009647
14,person,8498.307757474431,7663.707540657716,20.354681448821527,E0,0.001074101354911521,66,86,86,0.21221864951768488,0.4174757281553398,0.2765273311897106
15,person,8969.874016298761,4831.38668369441,7.189005652385036,E0,0.0005639236321112797,14,130,71,0.04501607717041801,0.6310679611650486,0.2282958199356913
16,person,1722.8129214169785,7541.186975253859,27.558573285775044,E0,0.0016852537784167539,76,62,75,0.24437299035369775,0.30097087378640774,0.24115755627009647
17,person,3015.1839131459333,5149.9055148865655,45.652702410444626,E0,0.0010820400102306898,118,101,97,0.37942122186495175,0.49029126213592233,0.31189710610932475
18,person,2124.6873250747,5964.931063841611,42.04840175670811,E0,0.0011829204956861383,89,88,93,0.2861736334405145,0.42718446601941745,0.2990353697749196
19,person,5831.877993743679,8005.030465614983,33.34127911310237,E0,0.001088292692541266,121,94,114,0.3890675241157556,0.4563106796116505,0.3665594855305466
