num_equivalence_classes,num_non_main_class_elements,num_cover_disks,mean_in_degree_shelter_main,mean_out_degree_shelter_main,mean_undirected_degree_shelter_main,max_in_degree_shelter_main,max_in_degree_shelter_main_id,mean_in_degree_norm_shelter_main,mean_out_degree_norm_shelter_main,mean_undirected_degree_norm_shelter_main,max_in_degree_norm_shelter_main,max_in_degree_norm_shelter_main_id,max_out_degree_norm_shelter_main,max_out_degree_norm_shelter_main_id,max_undirected_degree_norm_shelter_main,max_undirected_degree_norm_shelter_main_id,mean_stationary_shelter_main,std_stationary_shelter_main,max_stationary_shelter_main,max_stationary_shelter_main_id,elevation,score,score_cumsum
1,0,0,329.0,97.6,329.0,329,300,0.9999999999996958,0.7229629629624273,0.9999999999996958,0.9999999999996961,300,0.9999999999992594,315,0.9999999999996961,300,0.024277721946769457,0.002753046643193664,0.0290327409385034,324,0,3.0560769462239032,3.0560769462239032
1,0,0,329.0,97.6,329.0,329,300,0.9999999999996958,0.7229629629624273,0.9999999999996958,0.9999999999996961,300,0.9999999999992594,315,0.9999999999996961,300,0.024277721946769457,0.002753046643193664,0.0290327409385034,324,1,3.0560769462239032,6.1121538924478065
1,0,0,329.0,97.6,329.0,329,300,0.9999999999996958,0.7229629629624273,0.9999999999996958,0.9999999999996961,300,0.9999999999992594,315,0.9999999999996961,300,0.024277721946769457,0.002753046643193664,0.0290327409385034,324,2,3.0560769462239032,9.16823083867171
1,0,0,328.6666666666667,97.4,328.6666666666667,329,300,0.9989868287737589,0.721481481480947,0.9989868287737589,0.9999999999996961,300,0.9999999999992594,315,0.9999999999996961,300,0.02429890668849056,0.0027985816713833127,0.0290772315307159,324,3,3.1016119744136033,12.269842813085312
1,0,0,327.8,97.73333333333333,327.8,329,300,0.996352583586323,0.7239506172834144,0.996352583586323,0.9999999999996961,300,0.9999999999992594,315,0.9999999999996961,300,0.02429048133281493,0.0031765801616019254,0.0292895313745932,324,4,3.479610464632203,15.749453277717514
1,0,0,326.06666666666666,97.5,326.06666666666666,329,301,0.9910840932114513,0.7116788321162689,0.9910840932114513,0.9999999999996961,301,0.9854014598532954,315,0.9999999999996961,301,0.02430580960381453,0.0035074047623698005,0.0295025199612654,324,5,3.810435065400103,19.559888343117617
3,2,1,321.9,98.26666666666667,321.9,327,301,0.9844036697244697,0.5746588693953754,0.9844036697244697,0.9999999999996942,301,0.8128654970755481,320,0.9999999999996942,301,0.024312221781749778,0.0039452020683860105,0.0298402994833051,324,6,5.854292977476909,25.414181320594526
7,6,1,316.1,99.8,316.1,323,301,0.9786377708975299,0.5768786127164295,0.9786377708975299,0.9999999999996905,301,0.9710982658953925,320,0.9999999999996905,301,0.024291677442781167,0.004458884452957031,0.0302370231852402,324,7,7.580096574169121,32.99427789476365
8,7,2,312.56666666666666,100.13333333333334,312.56666666666666,322,301,0.9707039337471107,0.5960317460313914,0.9707039337471107,0.9999999999996895,301,0.9583333333327629,320,0.9999999999996895,301,0.024314187111697246,0.004740627270638422,0.0305400959450508,324,8,9.164869694880824,42.159147589644476
11,10,3,306.93333333333334,102.86666666666666,306.93333333333334,319,301,0.9621734587248815,0.5221658206427129,0.9621734587248815,0.9999999999996866,301,0.9999999999994924,320,0.9999999999996866,301,0.02427073683807767,0.005377047574536641,0.0311840316281671,324,9,11.710380907869933,53.86952849751441
14,13,3,301.06666666666666,108.73333333333333,301.06666666666666,316,301,0.9527426160334539,0.530406504064782,0.9527426160334539,0.9999999999996836,301,0.9999999999995123,320,0.9999999999996836,301,0.02410973432957318,0.006574514422126461,0.0322278603740574,324,10,13.816938664550642,67.68646716206506
17,16,3,296.03333333333336,110.63333333333334,296.03333333333336,313,301,0.9457933972307947,0.5559463986596871,0.9457933972307947,0.9999999999996806,301,0.9999999999994975,320,0.9999999999996806,301,0.02408667948748757,0.007021847150211341,0.0326482103768521,324,11,15.173362301726453,82.85982946379151
19,18,3,290.93333333333334,111.6,290.93333333333334,311,301,0.9354769560554335,0.5417475728152711,0.9354769560554335,0.9999999999996785,301,0.9999999999995146,302,0.9999999999996785,301,0.024073159593841542,0.007331220161848487,0.0331366340709294,324,12,16.088795919424157,98.94862538321567
23,22,3,284.3333333333333,111.9,284.3333333333333,307,301,0.92616720955453,0.5567164179101708,0.92616720955453,0.9999999999996743,301,0.9850746268651817,302,0.9999999999996743,301,0.02408109766693097,0.007724599703003542,0.0336076972055495,324,13,17.694296672700467,116.64292205591613
23,22,4,280.26666666666665,112.0,280.26666666666665,307,301,0.9129207383276071,0.5517241379307627,0.9129207383276071,0.9999999999996743,301,0.9704433497532166,302,0.9999999999996743,301,0.02400927195141085,0.008068736863996239,0.0345247434050829,324,14,19.03843383369317,135.6813558896093
28,27,4,272.56666666666666,113.2,272.56666666666666,302,301,0.9025386313462795,0.5717171717168831,0.9025386313462795,0.9999999999996689,301,0.94949494949447,300,0.9999999999996689,301,0.02395639027200217,0.008442771148440586,0.0353065432958907,324,15,20.927619633288984,156.60897552289828
